DATE,PersonalSavings
1/1/1952,13432
4/1/1952,8440
7/1/1952,13503
10/1/1952,12620
1/1/1953,13189
4/1/1953,9915
7/1/1953,13327
10/1/1953,12785
1/1/1954,10764
4/1/1954,7400
7/1/1954,11585
10/1/1954,10552
1/1/1955,13028
4/1/1955,6030
7/1/1955,14541
10/1/1955,12498
1/1/1956,14573
4/1/1956,8223
7/1/1956,14510
10/1/1956,13518
1/1/1957,16575
4/1/1957,9963
7/1/1957,15980
10/1/1957,12952
1/1/1958,16317
4/1/1958,6119
7/1/1958,15601
10/1/1958,12652
1/1/1959,15376
4/1/1959,8851
7/1/1959,14931
10/1/1959,10507
1/1/1960,17823
4/1/1960,8222
7/1/1960,14240
10/1/1960,11623
1/1/1961,11651
4/1/1961,10775
7/1/1961,14102
10/1/1961,13533
1/1/1962,16078
4/1/1962,10203
7/1/1962,15331
10/1/1962,13999
1/1/1963,15628
4/1/1963,11532
7/1/1963,16147
10/1/1963,18034
1/1/1964,19482
4/1/1964,14510
7/1/1964,23381
10/1/1964,19696
1/1/1965,22399
4/1/1965,14998
7/1/1965,26743
10/1/1965,21905
1/1/1966,27726
4/1/1966,17401
7/1/1966,28638
10/1/1966,22241
1/1/1967,29703
4/1/1967,19608
7/1/1967,30995
10/1/1967,16294
1/1/1968,40711
4/1/1968,20731
7/1/1968,29047
10/1/1968,20658
1/1/1969,30590
4/1/1969,17613
7/1/1969,30336
10/1/1969,29685
1/1/1970,37841
4/1/1970,26557
7/1/1970,44036
10/1/1970,32595
1/1/1971,45341
4/1/1971,35942
7/1/1971,39778
10/1/1971,34880
1/1/1972,51519
4/1/1972,33041
7/1/1972,49342
10/1/1972,45093
1/1/1973,53684
4/1/1973,44213
7/1/1973,53237
10/1/1973,49574
1/1/1974,51399
4/1/1974,26026
7/1/1974,34612
10/1/1974,42759
1/1/1975,63901
4/1/1975,54730
7/1/1975,56268
10/1/1975,62523
1/1/1976,60861
4/1/1976,56255
7/1/1976,53369
10/1/1976,69478
1/1/1977,64887
4/1/1977,38647
7/1/1977,60060
10/1/1977,61528
1/1/1978,73707
4/1/1978,45107
7/1/1978,61562
10/1/1978,62640
1/1/1979,65354
4/1/1979,48667
7/1/1979,57165
10/1/1979,79949
1/1/1980,69218
4/1/1980,68905
7/1/1980,88417
10/1/1980,93297
1/1/1981,92471
4/1/1981,71695
7/1/1981,114936
10/1/1981,137028
1/1/1982,115771
4/1/1982,94718
7/1/1982,130812
10/1/1982,97505
1/1/1983,113880
4/1/1983,118760
7/1/1983,131952
10/1/1983,92092
1/1/1984,109791
4/1/1984,125397
7/1/1984,110704
10/1/1984,137884
1/1/1985,147014
4/1/1985,85570
7/1/1985,78182
10/1/1985,122610
1/1/1986,153538
4/1/1986,122660
7/1/1986,129426
10/1/1986,195111
1/1/1987,127840
4/1/1987,95649
7/1/1987,157848
10/1/1987,138349
1/1/1988,177658
4/1/1988,115467
7/1/1988,150421
10/1/1988,171038
1/1/1989,115155
4/1/1989,76897
7/1/1989,107492
10/1/1989,162357
1/1/1990,194194
4/1/1990,117011
7/1/1990,162434
10/1/1990,188605
1/1/1991,174150
4/1/1991,76845
7/1/1991,142062
10/1/1991,160163
1/1/1992,216332
4/1/1992,96845
7/1/1992,183281
10/1/1992,157419
1/1/1993,152391
4/1/1993,119443
7/1/1993,147013
10/1/1993,132360
1/1/1994,262614
4/1/1994,123044
7/1/1994,126516
10/1/1994,113337
1/1/1995,180435
4/1/1995,121415
7/1/1995,115451
10/1/1995,182400
1/1/1996,252553
4/1/1996,117032
7/1/1996,97344
10/1/1996,187319
1/1/1997,125790
4/1/1997,118367
7/1/1997,135798
10/1/1997,179830
1/1/1998,209935
4/1/1998,172584
7/1/1998,178804
10/1/1998,149126
1/1/1999,92111
4/1/1999,-81580
7/1/1999,-2730
10/1/1999,89598
1/1/2000,158778
4/1/2000,10121
7/1/2000,19958
10/1/2000,349225
1/1/2001,267405
4/1/2001,95504
7/1/2001,170418
10/1/2001,270359
1/1/2002,158347
4/1/2002,83885
7/1/2002,-36570
10/1/2002,266569
1/1/2003,-10064
4/1/2003,282770
7/1/2003,145298
10/1/2003,308035
1/1/2004,310345
4/1/2004,-11291
7/1/2004,215317
10/1/2004,174640
1/1/2005,134228
4/1/2005,207689
7/1/2005,67856
10/1/2005,287354
1/1/2006,223165
4/1/2006,57026
7/1/2006,99900
10/1/2006,136550
1/1/2007,255975
4/1/2007,-174768
7/1/2007,669694
10/1/2007,478762
1/1/2008,423829
4/1/2008,83378
7/1/2008,410204
10/1/2008,537430
1/1/2009,256893
4/1/2009,-11765
7/1/2009,138010
10/1/2009,289176
1/1/2010,365584
4/1/2010,245316
7/1/2010,264819
10/1/2010,458397
1/1/2011,321728
4/1/2011,392962
7/1/2011,504920
10/1/2011,373045
1/1/2012,249455
4/1/2012,335283
7/1/2012,427153
10/1/2012,519896
1/1/2013,337704
4/1/2013,130763
7/1/2013,190040
10/1/2013,331974
1/1/2014,427309
4/1/2014,275118
7/1/2014,317542
10/1/2014,527423
1/1/2015,686279
4/1/2015,137588
7/1/2015,302864
10/1/2015,482929
1/1/2016,558882
4/1/2016,225007
7/1/2016,116147
10/1/2016,-41792
1/1/2017,516632
4/1/2017,239497
7/1/2017,178040
10/1/2017,466633
1/1/2018,533552
4/1/2018,86437
7/1/2018,391663
10/1/2018,461247
1/1/2019,824789
4/1/2019,426908
7/1/2019,327991
10/1/2019,833091
1/1/2020,922106
4/1/2020,1245493
7/1/2020,292107
10/1/2020,1044478
1/1/2021,706593
4/1/2021,498235
7/1/2021,569141
10/1/2021,743091
1/1/2022,683889
4/1/2022,-91777
7/1/2022,330047
10/1/2022,501624
1/1/2023,815121
4/1/2023,249208
